NodeID4,Worklflow_Node,Unit_Node1_1,Unit_Node1_2,Unit_Node1_3,Unit_Node1_4,Unit_Node1_5,Unit_Node1_6,Unit_Node1_7,Unit_Node1_8,IC
fj033,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Measurement Devices,,,,,,,1
fj041,Specimen Preparation,Preparation of Test Specimens,Submission of Technical Drawings,,,,,,,1
fj042,Testing Procedure,Preparation of Test Specimens,Mounting Specimens on the Test Fixture,,,,,,,1
fj043,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Measurement Devices,,,,,,,1
fj051,Test Specimen Preparation,Preparation of Test Specimens,Submission of Technical Drawings,,,,,,,1
fj052,Testing Procedure,Preparation of Test Specimens,Mounting Specimens on the Test Fixture,,,,,,,1
fj053,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Measurement Devices,,,,,,,1
fj061,Specimen Preparation,Preparation of Test Specimens,Pre-Test Acclimation,,,,,,,1
fj062,Testing Procedure,Preparation of Test Specimens,Abrasion Testing Steps,,,,,,,1
fj063,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Testing Equipment,,,,,,,1
fj071,Specimen Preparation,Preparation of Test Specimens,Submission of Technical Drawings,,,,,,,1
fj072,Testing Procedure,Preparation of Test Specimens,Anchoring Test Specimens,,,,,,,1
fj073,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Measurement Devices,,,,,,,1
fj081,Test Specimen Preparation,Preparation of Test Specimens,Submission of Technical Drawings,,,,,,,1
fj082,Testing Procedure,Preparation of Test Specimens,Anchoring Test Specimens,,,,,,,1
fj083,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Measurement Devices,,,,,,,1
fj091,Test Specimen Preparation,Preparation of Test Specimens,Submission of Compliance Documentation,,,,,,,1
fj092,Chemical Resistance Testing,Preparation of Test Specimens,Application of Chemical Reagents,,,,,,,1
fj093,Test Reporting and Compliance,Measurement of Environmental Conditions,Calibration of Testing Equipment,,,,,,,1
fj101,Specimen Preparation,Preparation of Test Specimens,Submission of Technical Drawings,,,,,,,1
fj102,Testing Procedure,Preparation of Test Specimens,Anchoring Specimens to Test Fixture,,,,,,,1
fj103,Measurement of Environmental Conditions,Measurement of Environmental Conditions,Calibration of Testing Devices,,,,,,,1
fj111,Specimen Preparation,Preparation of Test Specimens,Submission of Technical Drawings,,,,,,,1
fj112,Testing Procedure,Preparation of Test Specimens,Installation and Anchoring,,,,,,,1
fj113,Environmental Compliance,Measurement of Environmental Conditions,Calibration of Measurement Devices,,,,,,,1
fj121,Specimen Preparation,Preparation of Test Specimens,Acclimation Period,,,,,,,1
fj122,Testing Process,Preparation of Test Specimens,Suspension in Environmental Chamber,,,,,,,1
fj123,Evaluation and Reporting,Measurement of Environmental Conditions,Recording Largest Deviations,,,,,,,1
fa011,Animal Welfare Claims,Define Animal Welfare Claims,Provide Supporting Documentation,,,,,,,1
fa012,Breed Claims,Define Breed Claims,Provide Supporting Documentation,,,,,,,1
fa013,Diet Claims,Define Diet Claims,Provide Supporting Documentation,,,,,,,1
fa014,Living or Raising Conditions Claims,Define Living Conditions Claims,Provide Supporting Documentation,,,,,,,1
fa015,Negative Antibiotics Use Claims,Define Negative Antibiotics Use Claims,Provide Supporting Documentation,,,,,,,1
fa016,Environment-Related Claims,Define Environment-Related Claims,Provide Supporting Documentation,,,,,,,1
fa021,Livestock and Poultry Residue Prevention Workflow,Confirm Producer History,Purchase Animals Free of Violative Residues,,,,,,,1
fa022,HACCP System Controls for Historic Residue Violations,Obtain Supporting Documentation,Establish a Critical Control Point (CCP),,,,,,,1
fa023,Residue Testing Considerations,Identify Residue Testing Methodology,Conduct Validation and Ongoing Verification,,,,,,,1
fa024,NSIS Sorting Procedures,Perform Residue Screening,Dispose of Animals with Violative Residues,,,,,,,1
fa031,Poultry Sorting and Inspection,Conduct Classroom Training,Implement Wet Lab Training,,,,,,,1
fa032,Disease Condition Evaluation,Identify Disease Conditions,Localized Trimming for Tumors,,,,,,,1
fa033,Meat Quality Control,Sorting Procedures Implementation,Localized Condition Handling,,,,,,,1
fa041,"Donating Meat, Poultry, and Egg Products",Identify Products Eligible for Donation,Verify Product Condition,,,,,,,1
fa042,Receiving Donated Products,Verify Product Condition,Repackage and Label Products,,,,,,,1
fa043,Managing Liability for Donated Products,Understand Liability Protection,Ensure Good Faith Compliance,,,,,,,1
fa051,Retained Water Protocol Development,Define Purpose Statement,Describe Washing and Chilling Systems,,,,,,,1
fa052,Water Retention Process Control,Define Purpose Statement,Maintain Process Control,,,,,,,1
fa053,Labeling Retained Water Products,Create Accurate Retained Water Statements,Distinguish Multi-Ingredient Products,,,,,,,1
fa061,Training Program for Carcass Sorting,Classroom Training,Wet Lab Training,,,,,,,1
fa062,Carcass Disposition and Sorting Procedures,Identify Unwholesome Carcasses,Trim Localized Conditions,,,,,,,1
fa063,Managing Generalized Disease Conditions,Evaluate Generalized Symptoms,Dispose of Generalized Disease Carcasses,,,,,,,1
fa071,Food Defense Planning Workflow,Develop Food Defense Plan,Designate Food Defense Coordinator,,,,,,,1
fa072,Personnel Security Workflow,Conduct Background Checks,Establish Credential Systems,,,,,,,1
fa073,Incident Response Planning Workflow,Develop Food Defense Plan,Conduct Background Checks,,,,,,,1
fa081,Risk Mitigation Workflow,Prevent Adulteration,Controlling Time and Temperature,,,,,,,1
fa082,Employee Hygiene Workflow,Train Employees,Proper Use of Gloves,,,,,,,1
fa083,Food Safety Workflow,Product Handling,Cleaning and Sanitizing,,,,,,,1
fa091,Salmonella Control in Livestock Management,Pre-Harvest Controls,Lairage Practices,,,,,,,1
fa092,Statistical Quality Control in Slaughter Operations,Statistical Process Control,Sampling Protocols,,,,,,,1
fa101,Fermented Products Workflow,Preparation of Meat and Ingredients,Fermentation Process,,,,,,,1
fa102,Salt-Cured Products Workflow,Meat Preparation and Salt Application,Salt-Curing Process,,,,,,,1
fa103,Dried Products Workflow,Preparation and Seasoning,Drying Process,,,,,,,1
fa111,Hazard Control Workflow,Receiving and Inspection,Sanitation SOPs Implementation,,,,,,,1
fa112,Environmental Monitoring Workflow,Swab Testing,Sanitation SOPs Implementation,,,,,,,1
fa113,Process Optimization Workflow,Product Sorting and Sizing,Temperature Monitoring Procedures,,,,,,,1
fa121,Raw Catfish Processing Workflow,Receiving Farm-Raised Catfish,Sanitation SOP Implementation,,,,,,,1
fa122,Packaging Material Handling Workflow,Receiving and Storing Packaging Materials,Sanitation SOP Implementation,,,,,,,1
fa123,Finished Product Shipping Workflow,Load and Inspect Finished Products,Foreign Material Control,,,,,,,1
fa131,Liquid Egg Processing Workflow,Receiving and Storage of Shell Eggs,Sanitation SOP Implementation,,,,,,,1
fa132,Packaging and Shipping Workflow,Filling and Sealing Bulk Containers,Sanitation SOP Implementation,,,,,,,1
fa141,Raw Poultry Processing,Receive Live Poultry,Stun and Bleed,,,,,,,1
fa142,Egg Product Safety Assurance,Receive Shell Eggs,Wash and Sanitize Eggs,,,,,,,1
fa151,Raw Material Handling Workflow,Receiving and Inspecting Materials,Sanitation SOP Implementation,,,,,,,1
fa152,Cooking Workflow,Preparation for Cooking,Cooking to Required Lethality,,,,,,,1
fa153,Packaging Workflow,Vacuum Packaging,Sanitation SOP Implementation,,,,,,,1
fa161,Raw Poultry Processing Workflow,Receiving and Inspection,Sanitation SOP Implementation,,,,,,,1
fa162,Packaging Workflow,Filling and Sealing,Sanitation SOP Implementation,,,,,,,1
fa163,Chilling Workflow,Rapid Chilling,Temperature Monitoring,,,,,,,1
fa171,Pre-Harvest Interventions Workflow,Grow-out House Biosecurity,Feed and Water Additives,,,,,,,1
fa172,Poultry Slaughter Workflow,Live Receiving and Hanging,Scalding Process,,,,,,,1
fa173,Poultry Chilling Workflow,Chiller Water Management,Temperature Monitoring,,,,,,,1
fa181,HACCP System Workflow,Hazard Analysis,Sanitation SOP Implementation,,,,,,,1
fa182,Product Packaging Workflow,Material Inspection,Sanitation SOP Implementation,,,,,,,1
fa183,Final Product Testing Workflow,Microbiological Sampling,Temperature Monitoring,,,,,,,1
fa191,Pre-Harvest Interventions Workflow,Livestock Inspection,Sanitation SOP Implementation,,,,,,,1
fa192,Slaughter Workflow,Stunning and Bleeding,Hide Removal,,,,,,,1
fa202,Slaughter Workflow,Stunning and Bleeding,Hide Removal,,,,,,,1
fa203,Chilling Workflow,Rapid Chilling,Temperature Monitoring,,,,,,,1
fa204,Packaging Workflow,Vacuum Sealing,Labeling and Documentation,,,,,,,1
fa211,Receiving and Storage Workflow,Receiving Ingredients,Sanitation SOP Implementation,,,,,,,1
fa212,Processing Workflow,Pre-Processing Inspection,Mixing and Preparation,,,,,,,1
fa213,Cooling Workflow,Rapid Cooling,Temperature Monitoring,,,,,,,1
fa221,Kit Assembly Workflow,Component Preparation,Component Inspection,,,,,,,1
fa222,Label Compliance Workflow,Regulatory Label Review,Labeling Requirements,,,,,,,1
fa223,Kit Shipping Workflow,Packaging Inspection,Component Inspection,,,,,,,1
fa231,Receiving Workflow,Receiving Turkey Components,Sanitation SOP Implementation,,,,,,,1
fa232,Grinding Workflow,Grinding Operations,Temperature Monitoring,,,,,,,1
fa233,Packaging Workflow,Product Packaging,Labeling Compliance,,,,,,,1
fa243,Packaging Workflow,Product Packaging,Labeling Compliance,,,,,,,1
fa251,Import Process Workflow,Submission of Import Application,Sanitation SOP Implementation,,,,,,,1
fa252,Inspection Compliance Workflow,Certification Verification,Temperature Monitoring,,,,,,,1
fa253,Cold Storage Workflow,Storage Conditions Monitoring,Temperature Monitoring,,,,,,,1
fa261,Stabilization Workflow,Heat Treatment Validation,Sanitation SOP Implementation,,,,,,,1
fa262,Inspection Compliance Workflow,Label Verification,Certification Review,,,,,,,1
fa271,Lethality Workflow,Salmonella Reduction by Cooking,Sanitation SOP Implementation,,,,,,,1
fa272,Stabilization Workflow,Cooling to Prevent Spore Growth,Sanitation SOP Implementation,,,,,,,1
fa281,Receiving Workflow,Beef Receiving,Non-Meat Ingredients Receiving,,,,,,,1
fa282,Marinating Workflow,Weighing and Mixing Marinade Ingredients,Marinate Beef and Place on Racks,,,,,,,1
fa285,Packaging Workflow,Metal Detection,Packaging and Labeling,,,,,,,1
fa291,Receiving Workflow,Pork Receiving,Non-Meat Ingredients Receiving,,,,,,,1
fa292,Marinating and Preparation Workflow,Weighing and Mixing Marinade,Injecting Pork Belly,,,,,,,1
fa294,Packaging Workflow,Slicing,Packaging and Labeling,,,,,,,1
fa295,Distribution Workflow,Storage and Distribution,Labeling Compliance,,,,,,,1
fa301,Customer Complaint Response Workflow,Receipt of Customer Complaints,Customer Complaint Documentation,,,,,,,1
fa302,HACCP Compliance Workflow,HACCP Compliance Workflow,Corrective Action Implementation,,,,,,,1
fa303,Regulatory Compliance Workflow,FSIS Reporting Protocols,Notification to FSIS,,,,,,,1
fa311,Receiving Workflow,Meat Receiving,Packaging Material Receiving,,,,,,,1
fa312,Processing Workflow,Grinding and Blending,Allergen Control Program,,,,,,,1
fa314,Packaging Workflow,Product Labeling,Sanitation SOP Implementation,,,,,,,1
fa325,Packaging Workflow,Product Labeling,Temperature Monitoring,,,,,,,1
fa331,Receiving Workflow,Live Hog Receiving,Non-Meat Ingredient Receiving,,,,,,,1
fa332,Processing Workflow,Scalding,Trimming and Sorting,,,,,,,1
fa334,Packaging Workflow,Final Product Packaging,Organic Acid Spray Application,,,,,,,1
fa341,Receiving Workflow,Receive Live Birds,Establishment Sorting,,,,,,,1
fa342,Processing Workflow,Scalding and Picking,Pre-chilling Antimicrobial Application,,,,,,,1
fa343,Packaging Workflow,Product Inspection,Pre-chilling Antimicrobial Application,,,,,,,1
fa352,Processing Workflow,"Stunning, Sticking, and Bleeding",Zero Tolerance Examination,,,,,,,1
fa361,Receiving Workflow,Raw Material Receiving,Sanitation SOP Development,,,,,,,1
fa362,Processing Workflow,Grinding and Blending,Sanitation SOP Development,,,,,,,1
fa372,Cooling Workflow,Rapid Cooling,Pathogen Monitoring and Sampling,,,,,,,1
fa381,Receiving Workflow,Receiving Raw Materials,Sanitation SOP Implementation,,,,,,,1
fa383,Processing Workflow,Grinding and Mixing,Hazard Analysis Implementation,,,,,,,1
fa384,Packaging Workflow,Product Labeling and Sealing,Sanitation SOP Implementation,,,,,,,1
fa391,User Management Workflow,Log In to LSAS,Create New Profile,,,,,,,1
fa392,Profile Creation Workflow,Log In to LSAS,Create New Profile,,,,,,,1
fa393,Submission Workflow,Log In to LSAS,Manage Establishments,,,,,,,1
fa394,Establishment Management Workflow,Manage Establishments,Add Establishment,,,,,,,1
fa401,Process Control Workflow,Develop Microbiological Sampling Plan,Implement Sanitation SOPs,,,,,,,1
fa402,HACCP Compliance Workflow,Develop Microbiological Sampling Plan,Conduct Hazard Analysis,,,,,,,1
fa403,Statistical Analysis Workflow,Monitor Process Control Parameters,Chart and Interpret Test Results,,,,,,,1
fa412,Documentation Workflow,Upload Supporting Documentation,Submit Supporting Documentation,,,,,,,1
fa413,Submission Workflow,Complete SRT Responses,Submit Supporting Documentation,,,,,,,1
fa421,Ante-Mortem Sorting Workflow,Pre-Sorting Prior to Arrival,Sorting on Premises,,,,,,,1
fa422,Post-Mortem Sorting Workflow,Identification of Food Safety Conditions,Proper Presentation of Carcasses,,,,,,,1
fa423,Food Safety Condition Sorting Workflow,Contamination Detection,Foreign Animal Disease Surveillance,,,,,,,1
fb011,Vaccine Storage Workflow,Cold Chain Maintenance,Vaccine Temperature Monitoring,,,,,,,1
fb012,Transport Workflow,Cold Chain Maintenance,Vaccine Transport Guidelines,,,,,,,1
fb014,Emergency Handling Workflow,Vaccine Temperature Monitoring,Staff Training and SOP Implementation,,,,,,,1
fb021,Non-Hospital Settings Workflow,Diagnostic Accuracy Assessment,Critical Illness Identification,,,,,,,1
fb022,Hospital Settings Workflow,Diagnostic Accuracy Assessment,Suspected Sepsis Evaluation,,,,,,,1
fb023,Clinical Severe Infection Workflow,Treatment Failure Monitoring,Adverse Events Recording,,,,,,,1
fb024,Isolated Fast Breathing Workflow,Treatment Failure Monitoring,Oral Amoxicillin Administration,,,,,,,1
fb031,Burden Reduction Workflow,Mass Drug Administration,Seasonal Chemoprevention,,,,,,,1
fb032,Transmission Reduction Workflow,Mass Drug Administration (MDA),Targeted Drug Administration,,,,,,,1
fb033,Vaccine Deployment Workflow,Malaria Vaccine Administration,Seasonal Vaccination Strategy,,,,,,,1
fb034,Surveillance Workflow,Monitoring Drug Efficacy,Reactive Case Detection,,,,,,,1
fb041,Burn Response Coordination Workflow,Burn Assessment and Initial Care,Medical Evacuation (MEDEVAC),,,,,,,1
fb042,Burn Patient Management Workflow,Burn Assessment and Initial Care,Rehabilitation Planning,,,,,,,1
fb043,International Burn Care Coordination Workflow,Medical Evacuation (MEDEVAC),International Resource Mobilization,,,,,,,1
fb044,Burn Rehabilitation Workflow,Rehabilitation Planning,Psychosocial Support Integration,,,,,,,1
fb051,Public Awareness Workflow,Health Education on GAS Infections,Community Campaigns,,,,,,,1
fb052,Primary Prevention Workflow,Health Education on GAS Infections,Rapid Diagnosis of GAS,,,,,,,1
fb053,Secondary Prevention Workflow,Antibiotic Prophylaxis for Secondary Prevention,Monitoring Adherence to Prophylaxis,,,,,,,1
fb054,Diagnostic Workflow,Use of Jones Criteria for RF Diagnosis,Echocardiographic Screening,,,,,,,1
fb061,Universal Screening Workflow,Maternal Screening for GBS,IAP Implementation,,,,,,,1
fb062,Risk-Based Screening Workflow,Maternal Screening for GBS,IAP Implementation,,,,,,,1
fb063,Health System Strengthening Workflow,Training and Capacity Building,Infrastructure Development,,,,,,,1
fb071,Severe Influenza Workflow,Diagnosis of Influenza,Use of Oseltamivir for Treatment,,,,,,,1
fb081,HIV Prevention Workflow,TB Preventive Treatment for HIV-Positive Individuals,Monitoring and Support for Adherence,,,,,,,1
fb082,Household Contacts Workflow,TB Preventive Treatment for HIV-Positive Individuals,Use of Levofloxacin for MDR/RR-TB Prevention,,,,,,,1
fb083,Screening and Diagnosis Workflow,Systematic Screening for TB Disease,Chest Radiography for TB Screening,,,,,,,1
fb084,MDR-TB Prevention Workflow,Use of Levofloxacin for MDR/RR-TB Prevention,Alternative Regimens for MDR Contacts,,,,,,,1
fb091,TB Screening Workflow,Identifying Populations for TB Preventive Treatment,TB Screening and Ruling Out TB Disease,,,,,,,1
fb092,TB Preventive Treatment Workflow,Identifying Populations for TB Preventive Treatment,Preventive Treatment Options,,,,,,,1
fb093,Monitoring and Evaluation Workflow,TB Screening and Ruling Out TB Disease,Monitoring and Evaluation,,,,,,,1
fb101,Doctor-Patient Relationships Workflow,Effective Communication,Maintaining Professional Boundaries,,,,,,,1
fb111,Good Medical Practice,Effective Communication,Maintaining Competence,,,,,,,1
fb112,Patient Safety,Effective Communication,Informed Consent,,,,,,,1
fb113,Healthcare Communication,Effective Communication,Language Assistance,,,,,,,1
fb114,Ethical Practices,Informed Consent,Confidentiality,,,,,,,1
fb115,Aboriginal and Torres Strait Islander Health,Cultural Safety,Community Engagement,,,,,,,1
fb121,Doctor-Patient Interaction Workflow,Building Trust,Maintaining Professional Boundaries,,,,,,,1
fb131,Mandatory Notification Workflow,Understand Reporting Obligations,Identify Notifiable Concerns,,,,,,,1
fb132,Treating Practitioners' Obligations,Monitor Patient-Practitioner Interactions,Evaluate Risk,,,,,,,1
fb133,Employers' Notification Responsibilities,Assess Practitioner Conduct,Report Risks,,,,,,,1
fb141,Preparation for Telehealth Consultation,Ensure Privacy of Consultation Space,Validate Technology Suitability,,,,,,,1
fb142,Conducting Telehealth Consultation,Identify Participants,Explain Consultation Process,,,,,,,1
fb143,Follow-up and Record Keeping,Arrange Follow-Up,Handover Information to Relevant Practitioners,,,,,,,1
fb151,Preparing Advertising Content,Define Scope of Advertising,Ensure Advertising Compliance,,,,,,,1
fb152,Reviewing Published Advertisements,Monitor Compliance of Published Advertisements,Substantiate Claims with Evidence,,,,,,,1
fb153,Handling Advertising Complaints,Receive and Document Complaints,Investigate Alleged Breaches,,,,,,,1
fb161,Preparing Cosmetic Surgery Advertising,Define Advertising Scope,Ensure Advertising Compliance,,,,,,,1
fb162,Reviewing Published Advertisements,Monitor Published Advertisements,Provide Accurate Risk Information,,,,,,,1
fb163,Managing Advertising Violations,Identify Advertising Violations,Enforce Advertising Standards,,,,,,,1
fb171,Pre-Procedure Assessment,Conduct Initial Consultation,Conduct Psychological Screening,,,,,,,1
fb172,Consent and Cooling-Off Period,Ensure Patient Understanding,Obtain Informed Consent,,,,,,,1
fb173,During the Procedure,Ensure Patient Understanding,Maintain Sterile and Safe Conditions,,,,,,,1
fb174,Post-Procedure Care,Provide Post-Procedural Care,Document Procedure Details,,,,,,,1
fb181,Initial Supervision Setup,Assign Principal Supervisor,Develop Supervised Practice Plan,,,,,,,1
fb182,Ongoing Supervision,Monitor Work Performance,Provide Constructive Feedback,,,,,,,1
fb183,Adjusting Supervision Levels,Review Performance Reports,Adjust Supervision Levels,,,,,,,1
fb191,Responding to a Practice Information Notice,Provide Practice Information,Verify Compliance with the National Law,,,,,,,1
fb192,Compliance Monitoring,Provide Practice Information,Verify Compliance with the National Law,,,,,,,1
fb193,Addressing Non-Compliance,Respond to Practice Information Notice,Provide Practice Information,,,,,,,1
fb201,Initial Planning and Scope Definition,Identify Supporting Organisations,Establish Expert Committee,,,,,,,1
fb202,Evidence Gathering and Analysis,Develop Research Questions,Contract External Reviewers,,,,,,,1
fb203,Drafting and Refinement,Draft Guidelines,Engage Stakeholders,,,,,,,1
fb211,Initial Planning and Evidence Selection,Appoint Experts and Stakeholders,Develop Inclusion and Exclusion Criteria,,,,,,,1
fb214,Finalisation and Release,Revise Draft Based on Feedback,Seek Approval for Final Release,,,,,,,1
fc011,Utility Setup Workflow,Responsibility for Installation,Confirmation of Separate Metering,,,,,,,1
fc012,Utility Usage Workflow,Measurement of Utility Usage,Provision of Utility Bills,,,,,,,1
fc013,Maintenance Workflow,Responsibility for Installation,Reporting Utility Issues,,,,,,,1
fc014,Dispute Resolution Workflow,Reporting Utility Issues,Involving Ombudsman Services,,,,,,,1
fc021,Starting a Tenancy Workflow,Provision of the Tenancy Agreement,Landlord Disclosure of Material Facts,,,,,,,1
fc022,Holding Fee Workflow,Payment of Holding Fee,Holding Fee Application to Rent,,,,,,,1
fc023,Bond Dispute Workflow,Condition Report Completion,Lodgement of Bond with Fair Trading,,,,,,,1
fc024,Dispute Resolution Workflow,Provision of the Tenancy Agreement,Addressing Invalid Tenancy Terms,,,,,,,1
fc031,Bond Payment Workflow,Payment of Bond,Lodgement of Bond with NSW Fair Trading,,,,,,,1
fc032,Bond Refund Workflow,Bond Refund Claim Process,Submission of Claim for Refund Form,,,,,,,1
fc033,Dispute Resolution Workflow,Condition Report Completion,Lodgement of Bond with NSW Fair Trading,,,,,,,1
fc041,Rent Increase Workflow,Providing Correct Notice of Rent Increase,Permitted Frequency of Rent Increases,,,,,,,1
fc042,Excessive Rent Dispute Workflow,Gathering Evidence,Applying to NCAT,,,,,,,1
fc043,Dispute Resolution Workflow,Providing Correct Notice of Rent Increase,Applying to NCAT,,,,,,,1
fc051,Rent Arrears Workflow,Rent Arrears Check,Negotiation for Repayment Plan,,,,,,,1
fc052,Utility Arrears Workflow,Utility Arrears Check,Rent Arrears Check,,,,,,,1
fc053,Dispute Resolution Workflow,Application to NCAT,Conciliation at NCAT Hearing,,,,,,,1
fc061,Urgent Repairs Workflow,Reporting Repairs to Landlord/Agent,Contacting Service Providers,,,,,,,1
fc062,Non-Urgent Repairs Workflow,Reporting Repairs to Landlord/Agent,Negotiating Repairs,,,,,,,1
fc063,Dispute Resolution Workflow,Application to NCAT,Compensation Claims,,,,,,,1
fc071,Security Maintenance Workflow,Reporting Security Issues to the Landlord/Agent,Installation of Reasonable Security,,,,,,,1
fc072,Tribunal Application Workflow,Application to NCAT for Orders,Presenting Evidence for Inadequate Security,,,,,,,1
fc073,Security Compensation Workflow,Application to NCAT for Orders,Rent Reduction Due to Insecurity,,,,,,,1
fc081,Landlord Entry Workflow,Entry with Tenant Consent,Providing Notice for Entry,,,,,,,1
fc082,Privacy Breach Resolution Workflow,Tenantï¼Šs Rights to Privacy,Providing Notice for Entry,,,,,,,1
fc083,Dispute Resolution Workflow,Application to NCAT,Seeking Compensation,,,,,,,1
fc091,Termination Without a Reason Workflow,Issuance of Termination Notice,Notice Period,,,,,,,1
fc092,Breach of Agreement Workflow,Issuance of Termination Notice,Application to NCAT,,,,,,,1
fc093,Domestic Violence Workflow,Issuance of Termination Notice,Immediate Termination,,,,,,,1
fc101,Termination Without Grounds Workflow,Issuance of Termination Notice,Minimum Notice Period,,,,,,,1
fc102,Termination for Breach Workflow,Issuance of Termination Notice,Remedying the Breach,,,,,,,1
fc103,Retaliatory Eviction Workflow,Issuance of Termination Notice,Challenging the Notice,,,,,,,1
fc104,Hardship Termination Workflow,Application to NCAT for Hardship,Tribunal Consideration of Hardship,,,,,,,1
fc111,Breach of Agreement Workflow,Identifying a Breach,Application to NCAT,,,,,,,1
fc112,Termination Workflow,Issuance of Tribunal Orders,Application to NCAT,,,,,,,1
fc113,Bond Dispute Workflow,Lodging a Bond Dispute,Application to NCAT,,,,,,,1
fc114,Hearing Workflow,Preparing for the Hearing,Issuance of Tribunal Orders,,,,,,,1
fc121,Fixed-Term Tenancy Workflow,Issuance of DV Termination Notice,Application to NCAT,,,,,,,1
fc122,Periodic Tenancy Workflow,Issuance of DV Termination Notice,Application to NCAT,,,,,,,1
fc123,Sub-Tenant Workflow,Issuance of DV Termination Notice,Application to NCAT,,,,,,,1
fc124,Domestic Violence Protection Workflow,Changing the Locks,Seeking AVOs,,,,,,,1
fc131,Dispute Resolution Workflow,Mediation by NSW Fair Trading,Application to NCAT,,,,,,,1
fc132,Repairs Workflow,Owners Corporation's Responsibility for Repairs,Tenant's Request to Owners Corporation,,,,,,,1
fc133,Pet Approval Workflow,Requesting Approval from the Owners Corporation,Application to NCAT,,,,,,,1
fc134,By-Laws Compliance Workflow,Owners Corporation's Responsibility for Repairs,Tenant's Request to Owners Corporation,,,,,,,1
fc141,Eviction Workflow,Providing Written Notice to Leave,Application to NCAT,,,,,,,1
fc142,Dispute Resolution Workflow,Application to NCAT,Settling Disputes through Conciliation,,,,,,,1
fc143,Repairs and Maintenance Workflow,Reporting Repairs to Landlord,Contacting Local Council,,,,,,,1
fc144,Termination Workflow,Providing Written Notice to Leave,Removing Personal Belongings,,,,,,,1
fc151,Sub-Tenant Workflow,Signing a Written Agreement,Providing Written Notice,,,,,,,1
fc152,Co-Tenant Workflow,Co-Tenants' Shared Liability,Providing Written Notice,,,,,,,1
fc153,Boarder/Lodger Workflow,Providing Written Notice,Contacting Local Tenants' Advocacy Services,,,,,,,1
fc161,Breach of Agreement Workflow,Identifying the Breach,Issuance of Termination Notice,,,,,,,1
fc162,Rent Increase Workflow,Rent Increase Notification,Issuance of Termination Notice,,,,,,,1
fc163,Extraordinary Grounds Workflow,Grounds for Termination,Issuance of Termination Notice,,,,,,,1
fc164,Premises Unusable Workflow,Condition of Premises,Immediate Termination Notice,,,,,,,1
fc171,Discrimination Complaint Workflow,Identifying Discrimination,Making a Complaint to ADB or AHRC,,,,,,,1
fc172,Harassment Workflow,Identifying Discrimination,Making a Complaint to ADB or AHRC,,,,,,,1
fc173,Legal Advice Workflow,Seeking Legal Advice,Filing Formal Complaints,,,,,,,1
fc181,Transfer Workflow,Requesting Consent from Landlord,Providing Written Consent,,,,,,,1
fc182,Sub-Letting Workflow,Preparing a Sub-Letting Agreement,Requesting Consent from Landlord,,,,,,,1
fc183,Bond Handling Workflow,Payment of Bond,Depositing the Bond,,,,,,,1
fc191,Tenant Listing Workflow,Listing Requirements,Notifying Tenants of Intended Listing,,,,,,,1
fc192,Access Workflow,Finding Out About a Listing,Contacting Database Operators,,,,,,,1
fc193,Amendments and Removal Workflow,Identifying Errors in Listings,Contacting Database Operators,,,,,,,1
fc194,Dispute Resolution Workflow,Initiating a Complaint with NCAT,Application to NCAT for Disputes,,,,,,,1
fc201,Installation Workflow,Landlordï¼Šs Responsibility to Install Smoke Alarms,Location and Type of Smoke Alarms,,,,,,,1
fc202,Maintenance Workflow,Annual Maintenance by Landlords,Tenantï¼Šs Obligation to Notify Issues,,,,,,,1
fc203,Notification Workflow,Tenantï¼Šs Obligation to Notify Issues,Communication in Writing,,,,,,,1
fc204,Battery Replacement Workflow,Landlordï¼Šs Responsibility to Install Smoke Alarms,Tenantï¼Šs Obligation to Notify Issues,,,,,,,1
fc205,Dispute Workflow,Application to NCAT,Preventing Interference with Smoke Alarms,,,,,,,1
fc211,Mortgage Default Workflow,Receiving a Demand for Rent,Negotiating with Mortgagee,,,,,,,1
fc212,Eviction by Sheriff Workflow,Court Order for Possession,Providing Written Notice to Vacate,,,,,,,1
fc213,Dispute Resolution Workflow,Application to Supreme Court or NCAT,Preparing Legal Documentation,,,,,,,1
fc214,Bond Recovery Workflow,Lodging a Bond Claim,Application to Supreme Court or NCAT,,,,,,,1
fc215,Negotiation Workflow,Discussing Terms with Mortgagee,Formalizing Agreements,,,,,,,1
fc221,Rent Reduction Workflow,Negotiating Rent Reduction with Landlord,Applying to NCAT,,,,,,,1
fc222,Repairs Workflow,Reporting Damage to Landlord,Handling Urgent Repairs,,,,,,,1
fc223,Compensation Workflow,Documenting Losses,Applying to NCAT,,,,,,,1
fc224,Termination Workflow,Providing Immediate Termination Notices,Moving Out and Returning Keys,,,,,,,1
fc225,Safety and Damage Workflow,Keeping Out of Unsafe Premises,Handling Urgent Repairs,,,,,,,1
fc231,Utility Repairs Workflow,Tenant's Obligation to Notify Landlord of Repairs,Landlord's Responsibility for Utility Repairs,,,,,,,1
fc232,Maintenance Workflow,Tenant's Obligation to Notify Landlord of Repairs,Routine Inspections by Landlord,,,,,,,1
